model,horizon,decile,n,predicted_persistence,observed_persistence,population
M_base,365,5,3312,0.53615426635938868,0.61322463768115942,2023
M_base,365,6,3313,0.54741552615459976,0.64231814065801385,2023
M_base,365,7,3312,0.55945372592127007,0.64764492753623193,2023
M_base,365,8,3313,0.57184907098194171,0.655900996076064,2023
M_base,365,9,3313,0.58829181169807754,0.64050709326894051,2023
M_base,365,10,3312,0.61778548930040289,0.66515700483091789,2023
M_any,365,1,3313,0.41832951311477229,0.51765771204346511,2023
M_any,365,2,3313,0.46647414716979352,0.5433142167220042,2023
M_any,365,3,3312,0.51966817373478813,0.59299516908212557,2023
M_any,365,4,3324,0.55020841451777502,0.61101083032490977,2023
M_any,365,5,3307,0.56337251760016016,0.6053825219231932,2023
M_any,365,6,3314,0.57536809155067692,0.63367531683765843,2023
M_any,365,7,3306,0.59025372961463518,0.65698729582577131,2023
M_any,365,8,3312,0.6044632158555503,0.66968599033816423,2023
M_any,365,9,3312,0.62315088014600262,0.69565217391304346,2023
M_any,365,10,3313,0.65830307303917879,0.71657108361002109,2023
M_count,365,1,3314,0.4122567525494964,0.51991550995775493,2023
M_count,365,2,3314,0.468615910393958,0.52745926372963181,2023
M_count,365,3,3310,0.5216491080465564,0.60966767371601205,2023
M_count,365,4,3313,0.55098065561047693,0.61545427105342587,2023
M_count,365,5,3312,0.56380452409008774,0.60144927536231885,2023
M_count,365,6,3316,0.57598115951950213,0.63027744270205066,2023
M_count,365,7,3309,0.59096866955053573,0.65639165911151409,2023
M_count,365,8,3313,0.60532510271417794,0.67008753395713849,2023
M_count,365,9,3313,0.62440592055126665,0.69785692725626325,2023
M_count,365,10,3312,0.66036128304208075,0.71437198067632846,2023
M_history,365,1,3313,0.35536571025694708,0.44883791125867795,2023
M_history,365,2,3314,0.49307473279010217,0.57272178636089321,2023
M_history,365,3,3316,0.54422777878974626,0.60404101326899884,2023
M_history,365,4,3309,0.55917603988705622,0.60320338470837109,2023
M_history,365,5,3311,0.56926992163767032,0.60918151615826033,2023
M_history,365,6,3313,0.58123992772701827,0.63145185632357381,2023
M_history,365,7,3313,0.59431831485397524,0.66737096287352848,2023
M_history,365,8,3312,0.60792368276526387,0.6811594202898551,2023
M_history,365,9,3312,0.62588571643840374,0.70440821256038644,2023
M_history,365,10,3313,0.6622369491581781,0.7204950196196801,2023
M_base,180,1,3385,0.63903642292078666,0.73028064992614472,full_2024
M_base,180,2,3385,0.6569709789512026,0.75155096011816835,full_2024
M_base,180,3,3387,0.66666944558768193,0.72837319161499847,full_2024
M_base,180,4,3426,0.67416727930676523,0.74051371862230009,full_2024
M_base,180,5,3342,0.68286234450571437,0.77318970676241772,full_2024
M_base,180,6,3384,0.69112582451135751,0.7842789598108747,full_2024
M_base,180,7,3384,0.70002712767573338,0.80230496453900713,full_2024
M_base,180,8,3384,0.70923784087202324,0.79905437352245867,full_2024
M_base,180,9,3391,0.72100844467335368,0.82866411088174585,full_2024
M_base,180,10,3379,0.74311909078076854,0.81503403373779226,full_2024
M_any,180,1,3394,0.59058736808801482,0.67088980553918676,full_2024
M_any,180,2,3376,0.63354580710076702,0.69905213270142175,full_2024
M_any,180,3,3386,0.679194735905019,0.75191966922622566,full_2024
M_any,180,4,3383,0.69885863301117734,0.77534732485959212,full_2024
M_any,180,5,3385,0.70935133605741896,0.75420974889217129,full_2024
M_any,180,6,3384,0.71955620734558068,0.78900709219858156,full_2024
M_any,180,7,3392,0.72995568238041619,0.80571933962264153,full_2024
M_any,180,8,3377,0.74004725557815865,0.82588095943144801,full_2024
M_any,180,9,3386,0.7518674499934106,0.83963378617838158,full_2024
M_any,180,10,3384,0.77635559419491973,0.84131205673758869,full_2024
M_count,180,1,3385,0.58485680675302276,0.66085672082717872,full_2024
M_count,180,2,3385,0.6360074870543474,0.69778434268833089,full_2024
M_count,180,3,3386,0.68027447070015989,0.7595983461311282,full_2024
M_count,180,4,3390,0.69945423927736206,0.77020648967551619,full_2024
M_count,180,5,3378,0.70998575324187074,0.76021314387211369,full_2024
M_count,180,6,3384,0.72027206753844564,0.79314420803782504,full_2024
M_count,180,7,3385,0.73082668155592823,0.80915805022156573,full_2024
M_count,180,8,3384,0.74107535833958649,0.8271276595744681,full_2024
M_count,180,9,3386,0.75327586433638238,0.83313644418192556,full_2024
M_count,180,10,3384,0.77858892183021655,0.84160756501182032,full_2024
M_history,180,1,3385,0.54028660447640242,0.62511078286558341,full_2024
M_history,180,2,3388,0.65769703655650047,0.71959858323494685,full_2024
M_history,180,3,3381,0.69345949943042584,0.7639751552795031,full_2024
M_history,180,4,3446,0.70504736899831799,0.76117237376668601,full_2024
M_history,180,5,3324,0.71425404532000036,0.76744885679903729,full_2024
M_history,180,6,3384,0.72355959495448063,0.80112293144208035,full_2024
M_history,180,7,3385,0.73314498727510935,0.81595273264401769,full_2024
M_history,180,8,3384,0.74285937753574682,0.81708037825059099,full_2024
M_history,180,9,3387,0.7546737925796565,0.83997638027753174,full_2024
M_history,180,10,3383,0.78086097596947568,0.84156074490097543,full_2024
M_base,365,1,2447,0.44430712075247247,0.59910093992644053,mature_2024
M_base,365,2,2440,0.46514340773746321,0.61393442622950822,mature_2024
M_base,365,3,2445,0.47580413530664922,0.58813905930470345,mature_2024
M_base,365,4,2474,0.48591491897963984,0.61560226354082459,mature_2024
M_base,365,5,2410,0.49714381983238437,0.6199170124481328,mature_2024
